codePostal,longitude,latitude,adress,libelle_du_site,record_timestamp
31200,1.4329009999999998,43.648096,235 AVENUE DE FRONTON,TOULOUSE QUARTIER LALANDE BP,2020-06-08T21:38:00+00:00
31200,1.4147,43.611592,15 ROUTE DE BLAGNAC,TOULOUSE SEPT DENIERS BP,2020-06-08T21:38:00+00:00
31200,1.4543,43.6413,Centre commercial Les Maourines ZAC Bo,TOULOUSE BORDEROUGE RPU RP,2020-06-08T21:38:00+00:00
31200,1.443988,43.638094,15 CHEMIN DES IZARDS,TOULOUSE LES IZARDS BP,2020-06-08T21:38:00+00:00
31200,1.464068,43.636091,131 ROUTE D ALBI,TOULOUSE CROIX DAURADE,2020-06-08T21:38:00+00:00
31200,1.4633,43.6419,RUE DU GENERAL GIRAUD,TOULOUSE SPAR GAL GIRAUD RP,2020-06-08T21:38:00+00:00
31200,1.43361,43.625999,165 AVENUE DES MINIMES,TOULOUSE MINIMES,2020-06-08T21:38:00+00:00
31200,1.4408,43.6159,49 BOULEVARD DES MINIMES,TOULOUSE MINIMES CANAL RPU RP,2020-06-08T21:38:00+00:00
31200,1.4229119999999997,43.612045,99 BOULEVARD DE L EMBOUCHURE,TOULOUSE PONTS JUMEAUX BP,2020-06-08T21:38:00+00:00
31200,1.4326,43.6521,304 AVENUE DE FRONTON,TOULOUSE CARREFOUR CITY FRONTON RP,2020-06-08T21:38:00+00:00
