Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.6010873294,1.4394867589;"{""type"": ""LineString"", ""coordinates"": [[1.439228280447424, 43.6009168683658], [1.43974523735634, 43.601257790490806]]}";PL DE LA DAURADE;DAURADE (PL DE LA DAURADE);3160;3160;TOULOUSE;31555;315552169647;3105552520;56;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;oui;oui;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.6003210237,1.44086850683;"{""type"": ""LineString"", ""coordinates"": [[1.440878079194186, 43.60029035123426], [1.440858934471443, 43.60035169619436]]}";RUE PEYROLIERES;PEYROLIERES (RUE PEYROLIERES);4669;4669;TOULOUSE;31555;315555366449;3105556820;7;Zone de Rencontre;18/204;2018-12-10T01:00:00+01:00;2018;Centre;oui;oui;
43.6009548505,1.44505114219;"{""type"": ""LineString"", ""coordinates"": [[1.445085977435154, 43.600453172127295], [1.445016306944364, 43.60145652885709]]}";RUE DES TOURNEURS;TOURNEURS (RUE DES TOURNEURS);4663;4663;TOULOUSE;31555;315556918414;3105558536;112;Zone de Rencontre;13/117;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.6018373896,1.44752996495;"{""type"": ""LineString"", ""coordinates"": [[1.447658900580978, 43.601651390459146], [1.447524223414559, 43.60186510694085], [1.447381503536746, 43.60200779472436]]}";PL SAINT GEORGES;GEORGES (PL SAINT GEORGES);4679;4679;TOULOUSE;31555;315556211216;3105557792;46;Zone de Rencontre;13/117;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.6040345171,1.44733571932;"{""type"": ""LineString"", ""coordinates"": [[1.447325160313586, 43.60386933529084], [1.447346278321509, 43.60419969885264]]}";RUE SAINT ANTOINE DU T;ANTOINE (RUE SAINT ANTOINE DU T);4697;4697;TOULOUSE;31555;315556128036;3105557704;37;Zone de Rencontre;13/117;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.6036597334,1.44732111344;"{""type"": ""LineString"", ""coordinates"": [[1.44731706764581, 43.60345013146174], [1.447320659011793, 43.603636222152694], [1.447325160313586, 43.60386933529084]]}";RUE SAINT ANTOINE DU T;ANTOINE (RUE SAINT ANTOINE DU T);4699;4699;TOULOUSE;31555;315556128036;3105557704;47;Zone de Rencontre;13/117;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.5999687121,1.44520980848;"{""type"": ""LineString"", ""coordinates"": [[1.445363314653141, 43.599489410030735], [1.445248390647772, 43.599862227404316], [1.445103320401749, 43.60025084334745], [1.445085977435154, 43.600453172127295]]}";RUE DES TOURNEURS;TOURNEURS (RUE DES TOURNEURS);5275;5275;TOULOUSE;31555;315556918414;3105558536;110;Zone de Rencontre;13/117;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.5994915014,1.44550844129;"{""type"": ""LineString"", ""coordinates"": [[1.445363314653141, 43.599489410030735], [1.445653567916889, 43.59949359270942]]}";PL ROUAIX;ROUAIX (PL ROUAIX);5697;5697;TOULOUSE;31555;315556041632;3105557644;23;Zone de Rencontre;13/117;2013-07-11T02:00:00+02:00;2013;Centre;oui;oui;
43.633723404,1.4491541912;"{""type"": ""LineString"", ""coordinates"": [[1.449233274026669, 43.633717612970976], [1.449114628193505, 43.63372425003238], [1.449076669684813, 43.63373720835419]]}";RUE JEANNE DE SEGLA;SEGLA (RUE JEANNE DE SEGLA);9101;9101;TOULOUSE;31555;315558446546;3105554682;13;Zone de Rencontre;09/078;2009-07-09T02:00:00+02:00;2009;Nord;;;
43.6339760536,1.44931215778;"{""type"": ""LineString"", ""coordinates"": [[1.449091154532497, 43.63398993348236], [1.449533161027387, 43.633962173653586]]}";RUE JEANNE DE SEGLA;SEGLA (RUE JEANNE DE SEGLA);9104;9104;TOULOUSE;31555;315558446546;3105554682;36;Zone de Rencontre;09/078;2009-07-09T02:00:00+02:00;2009;Nord;;;
43.6338419754,1.44952843201;"{""type"": ""LineString"", ""coordinates"": [[1.449533161027387, 43.633962173653586], [1.449523702992418, 43.633721777047455]]}";RUE JEANNE DE SEGLA;SEGLA (RUE JEANNE DE SEGLA);9105;9105;TOULOUSE;31555;315558446546;3105554682;27;Zone de Rencontre;09/078;2009-07-09T02:00:00+02:00;2009;Nord;;;
43.6304322536,1.4460895364;"{""type"": ""LineString"", ""coordinates"": [[1.446956672637839, 43.630106363620335], [1.446260957906515, 43.630467056254325], [1.445863145630464, 43.63067680174311], [1.445722705173518, 43.63066055569333], [1.44539906242409, 43.63035241518416], [1.445252507884899, 43.630310582953]]}";RUE MARIE DARAM;DARAM (RUE MARIE DARAM);8950;8950;TOULOUSE;31555;315558447250;3105555687;176;Zone de Rencontre;10/099;2010-09-30T02:00:00+02:00;2010;Nord;oui;oui;
43.6072856427,1.44214622568;"{""type"": ""LineString"", ""coordinates"": [[1.442248639399711, 43.60701112804479], [1.442043811962793, 43.607560157315234]]}";RUE DU TAUR;TAUR (RUE DU TAUR);3259;3259;TOULOUSE;31555;315556790415;3105558408;63;Zone de Rencontre;13/121;2011-05-20T02:00:00+02:00;2013;Centre;oui;oui;
43.5803790979,1.45070837206;"{""type"": ""LineString"", ""coordinates"": [[1.449749620406285, 43.57995858696092], [1.450586793473582, 43.58032778792675], [1.451168728295984, 43.58057927606514], [1.451667848806042, 43.580797954036434]]}";IMP PONS;PONS (IMP PONS);5119;5119;TOULOUSE;31555;315555478410;3105556992;181;Zone de Rencontre;13/053;2013-04-04T02:00:00+02:00;2013;Centre;;;
43.5866717121,1.4615237767;"{""type"": ""LineString"", ""coordinates"": [[1.461176779219536, 43.586279939158494], [1.461548955320459, 43.5863745942056], [1.461495217445783, 43.58648865901243], [1.461441711941083, 43.58667557407122], [1.461487615438726, 43.58674120934097], [1.461826945098424, 43.58721216626349]]}";RUE DES TROIS FOURS;FOURS (RUE DES TROIS FOURS);5720;5720;TOULOUSE;31555;315556976037;3105558600;134;Zone de Rencontre;13/060;2013-04-16T02:00:00+02:00;2013;Est;oui;oui;
43.6278807278,1.43562001292;"{""type"": ""LineString"", ""coordinates"": [[1.433886635594591, 43.62788736373552], [1.435304855111313, 43.62790055758637], [1.436343415270181, 43.62786907192781], [1.437353196459902, 43.62784681150954]]}";RUE PAGES;PAGES (RUE PAGES);1725;1725;TOULOUSE;31555;315555110451;3105556452;279;Zone de Rencontre;13/087;2013-06-06T02:00:00+02:00;2013;Nord;oui;oui;
43.6243946889,1.43376313315;"{""type"": ""LineString"", ""coordinates"": [[1.434229957307564, 43.62447362480705], [1.433336130642782, 43.6243242960112], [1.433336794916737, 43.62428201218456]]}";RUE FILHOL;FILHOL (RUE FILHOL);1775;1775;TOULOUSE;31555;315552803235;3105553304;79;Zone de Rencontre;13/088;2013-06-06T02:00:00+02:00;2013;Nord;oui;oui;
43.6340159853,1.39890615564;"{""type"": ""LineString"", ""coordinates"": [[1.398738875853841, 43.63400691322232], [1.399073435431615, 43.634025057460946]]}";PL DE L EGLISE;EGLISE (PL DE L EGLISE);10377;10377;BLAGNAC;31069;310690000443;3100690290;27;Zone de Rencontre;20110624;2011-06-24T02:00:00+02:00;2011;Ouest;;;
