Street;Motdir;Commune;"Code
Insee";"Date
Comptage";Année;Section;Sens de comptage;"Voie en
Sens unique";Type;"Moyenne
Jours ouvrés par semaine "
AV DE TOULOUSE;TOULOUSE (AV DE TOULOUSE);Pibrac;31417;2018-03-14;2018.0;ENTRE AV BALARDOU ET CHE LARRIOU;VERS AV DE BALARDOU;;TV;2650.0
RUE DE LA CHAUSSEE;CHAUSSEE (RUE DE LA CHAUSSEE);Toulouse;31555;2018-03-19;2018.0;ENTRE AV HAURIOU ET BD JUIN;VERS BD MARECHAL JUIN;;TV;9729.0
RUE DE NINARET;NINARET (RUE DE NINARET);Saint-Orens-De-Gameville;31506;2018-03-29;2018.0;ENTRE RUE DES TOURNESOLS;VERS RUE LABOUILHE;;TV;113.0
CHE DU PRADEL;PRADEL (CHE DU PRADEL);Saint-Jory;31490;2018-04-01;2018.0;ENTRE CHE TRUGUETTES ET RUE TOSCANE;VERS LE CANAL;;TV;229.0
CHE DU PRADEL;PRADEL (CHE DU PRADEL);Saint-Jory;31490;2018-04-01;2018.0;ENTRE CHE TRUGUETTES ET RUE TOSCANE;VERS CHE DES TRUGUETTES;;TV;219.0
RUE DE STALINGRAD;STALINGRAD (RUE DE STALINGRAD);Toulouse;31555;2018-04-03;2018.0;ENTRE RUE DE BORN ET RUE MAYNARD;VERS RUE CARRARELLI;oui;TV;3085.0
RUE DE L AUSSONNELLE;AUSSONNELLE (RUE DE L AUSSONNELLE);Cornebarrieu;31150;2018-04-05;2018.0;ENTRE RUE PASTEUR ET RUE DE LA POSTE;VERS RUE DE LA POSTE;;TV;1211.0
CHE DE BARRIEU;BARRIEU (CHE DE BARRIEU);Blagnac;31069;2018-04-05;2018.0;ENTRE RUE VIRGILE ET RUE PERVENCHES;VERS RUE MALRAUX;;TV;750.0
CHE DE BORDEBLANQUE;BORDEBLANQUE (CHE DE BORDEBLANQUE);Colomiers;31149;2018-05-06;2018.0;ENTRE CHE NASQUE ET BD PAUL;VERS BD PAUL;;TV;1595.0
RTE DE LACOURTENSOURT;LACOURTENSOURT (RTE DE LACOURTENSOURT);Fenouillet;31182;2018-05-11;2018.0;ENTRE RTE DE PARIS ET VOIES SNCF (SUD);VERS RTE DE PARIS;;TV;831.0
RUE DE NEGRENEYS;NEGRENEYS (RUE DE NEGRENEYS);Toulouse;31555;2018-06-04;2018.0;ENTRE RUE FAUVETTE ET RUE DES  ANGES;VERS RUE DES ANGES;oui;TV;3667.0
RUE DE LA VOIE ROMAINE;ROMAINE (RUE DE LA VOIE ROMAINE);Gagnac-Sur-Garonne;31205;2018-06-14;2018.0;ENTRE RD 63 ET RUE TURRET;VERS D63;;TV;2598.0
BD LASCROSSES;LASCROSSES (BD LASCROSSES);Toulouse;31555;2018-06-15;2018.0;ENTRE AV SEJOURNE ET RUE DE RODE;VERS RUE DE SEBASTOPOL;;TV;5995.0
RUE JOSEPH THILLET;THILLET (RUE JOSEPH THILLET);Toulouse;31555;2018-06-26;2018.0;ENTRE RUE PANEBOEUF ET RUE ACTION TOULOUSAI;VERS RUE VITET;;TV;679.0
ALL DE LA CHAMPAGNE;CHAMPAGNE (ALL DE LA CHAMPAGNE);Colomiers;31149;2018-06-27;2018.0;ENTRE ALL DES ARDENNES;VERS ALL DE LA MOSELLE;;TV;875.0
CHE DE PEYRELONG;PEYRELONG (CHE DE PEYRELONG);Aussonne;31032;2018-06-27;2018.0;ENTRE CHE DE LAGASSINE ET RUE NOUGAR;VERS CHE LAGASSINE;;TV;776.0
RTE DE BESSIERES;BESSIERES (RTE DE BESSIERES);Launaguet;31282;2018-09-10;2018.0;ENTRE AV DES NOBLES ET IMP SAUDRUNE;VERS AV DES NOBLES;;TV;7521.0
RUE DE TUNIS;TUNIS (RUE DE TUNIS);Toulouse;31555;2018-09-18;2018.0;ENTRE RUE JEUNESSE ETRUE  NEGRENEYS;VERS RUE NEGRENEYS;;TV;1770.0
RUE CAMBARD;CAMBARD (RUE CAMBARD);Toulouse;31555;2018-09-25;2018.0;ENTRE RUE FEUILLET ET RUE CAILLEVET;VERS AV D'ATLANTA;;TV;4112.0
RUE D ARLES;ARLES (RUE D ARLES);Toulouse;31555;2018-09-28;2018.0;ENTRE RUE BEAUCAIRE ET RUE D'HYERES;VERS RUE ROUBICHOU;;TV;331.0
CHE MICHOUN;MICHOUN (CHE MICHOUN);Toulouse;31555;2018-09-28;2018.0;ENTRE RUED'HYERES ET RUE DE LA CIOTAT;VERS CHE NICOL;;TV;3737.0
CHE DES ARGOULETS;ARGOULETS (CHE DES ARGOULETS)_TOULOUSE;Toulouse;31555;2018-09-26;2018.0;ENTRE RUE LESGOUST ET CHE CASSAING;VERS CHE CASSAING;;TV;2091.0
AV HENRI GUILLAUMET;GUILLAUMET (AV HENRI GUILLAUMET);Toulouse;31555;2018-09-26;2018.0;ENTRE RUE PLANA ET RUE SAY;VERS BD DES CRETES;;TV;1301.0
RTE DE SEYSSES;SEYSSES (RTE DE SEYSSES)_TOULOUSE;Toulouse;31555;2017-09-25;2017.0;ENTRE CHE LESTANG ET CHE VOUET;VERS CHE DE LESTANG;;TV;4466.0
RUE DE LA MONTJOIE;MONTJOIE (RUE DE LA MONTJOIE)__TOURNEFEUILLE;Tournefeuille;31557;2017-09-25;2017.0;ENTRE RUE MERMOZ ET BD AURIOL;VERS RUE CLEMENT ADER;;TV;3751.0
AV DU PR JOSEPH DUCUING;DUCUING (AV DU PR JOSEPH DUCUING);Toulouse;31555;2017-09-28;2017.0;ENTRE RTE DE NARBONNE ET CHE DE LA SALADE P;VERS RTEDE NARBONNE;;TV;7151.0
CHE DE POUVOURVILLE;POUVOURVILLE (CHE DE POUVOURVILLE);Toulouse;31555;2017-09-28;2017.0;ENTRE CHE DU VALLON ET CHE DE LA BOURDETTE;VERS CHE DE LA BOURDETTE;;TV;4029.0
RUE DE CAULET;CAULET (RUE DE CAULET);Toulouse;31555;2017-09-28;2017.0;ENTRE GIR ESCOLA ET RUE TERCE;VERS RUE TERCE;;TV;3460.0
CHE DE MALEPERE;MALEPERE (CHE DE MALEPERE);Toulouse;31555;2017-11-06;2017.0;ENTRE CHE DES CARMES ET RTE LABEGE;VERS RTE DE REVEL;;TV;2769.0
AV DU COLONEL ROCHE;ROCHE (AV DU COLONEL ROCHE);Toulouse;31555;2017-11-06;2017.0;ENTRE RANGUEIL ET RD PT CAMBOU;VERS AV DE RANGUEIL;;TV;6184.0
AV DES HERBETTES;HERBETTES (AV DES HERBETTES);Toulouse;31555;2017-11-08;2017.0;ENTRE AV DE LESPINET ET CHE DE LA BUTTE;VERS CHE DE LA BUTTE;;TV;3852.0
BD ANDRE NETWILLER;NETWILLER (BD ANDRE NETWILLER);Toulouse;31555;2017-11-23;2017.0;ENTRE RUE PASTRE ET BD ARTHAUD;VERS BD ARTHAUD;;TV;6792.0
AV DES ETATS UNIS;UNIS (AV DES ETATS UNIS);Toulouse;31555;2017-11-27;2017.0;ENTRE RUE LARADE ET RUE MATHALY;VERS RUE CHARLAS;;TV;5320.0
CHE DE TUCAUT;TUCAUT (CHE DE TUCAUT);Toulouse;31555;2017-11-30;2017.0;ENTRE RUE WEIL ET IMP TUCAUT;VERS CHE BASSO CAMBO;;TV;6805.0
RUE FRANCOISE;FRANCOISE (RUE FRANCOISE);Aucamville;31022;2017-12-04;2017.0;ENTRE IMP DU LAC ET IMP DE LESPINASSE;VERS CHE GRATIAN;;TV;1386.0
RTE DE LAUNAGUET;LAUNAGUET (RTE DE LAUNAGUET);Toulouse;31555;2017-12-07;2017.0;ENTRE RUE IBOS ET RUE VAN DICK;VERS AV JEAN ZAY;;TV;8906.0
BD ANDRE NETWILLER;NETWILLER (BD ANDRE NETWILLER);Toulouse;31555;2017-12-07;2017.0;ENTRE AV MAUNOURY ET RUE PASTRE;VERS BD ARTHAUD;;TV;5172.0
AV DE FRONTON;FRONTON (AV DE FRONTON);Toulouse;31555;2017-12-13;2017.0;ENTRE CHE DU BARON ET RUE DUCLOS;VERS CHE DU BARON;;TV;5004.0
RUE DES PRETRES;PRETRES (RUE DES PRETRES);Toulouse;31555;2017-12-15;2017.0;ENTRE RUE SAINT REMESY ET RPL DES CARMES;VERS PL DES CARMES;oui;TV;2448.0
RUE DES POLINAIRES;POLINAIRES (RUE DES POLINAIRES);Toulouse;31555;2017-12-15;2017.0;ENTRE RUE DES FILATIERS ET RUE SAINT REMESY;VERS RUE DES PARADOUX;oui;TV;1866.0
AV DES MAROTS;MAROTS (AV DES MAROTS);Colomiers;31149;2018-01-10;2018.0;ENTRE CHE PAHIN ET ALL LAVANDIN;VERS CHE PAHIN;;TV;1427.0
BD PAUL VALERY;VALERY (BD PAUL VALERY);Colomiers;31149;2018-01-10;2018.0;ENTRE CHE PUJOUANE ET ALL CAPOUL;VERS CHE PUJOUANE;;TV;222.0
RUE DE LALANDE;LALANDE (RUE DE LALANDE);Saint-Orens-De-Gameville;31506;2018-01-30;2018.0;ENTRE AV AMETHYSTES ET AV CORAIL;VERS RTE DE LABEGE;;TV;4943.0
RTE DE LAUNAGUET;LAUNAGUET (RTE DE LAUNAGUET);Toulouse;31555;2017-03-17;2017.0;ENTRE RUE RIMBAUD ET CHE AUDIBERT;VERS RUE RIMBAUD;;TV;8214.0
AV DE FRONTON;FRONTON (AV DE FRONTON);Toulouse;31555;2017-03-17;2017.0;ENTRE RUE MIGUET ETIMP DE LA GARE;VERS CHE DU SEMINAIRE;;TV;4898.0
RUE FEDERICO GARCIA LORCA;LORCA (RUE FEDERICO GARCIA LORCA);Toulouse;31555;2017-03-17;2017.0;ENTRE AV DE FONDEYRE ET CHE DE FENOUILLET;VERS CHE DE FENOUILLET;;TV;5159.0
RUE ANDRE ETCHEVERLEPO;ETCHEVERLEPO (RUE ANDRE ETCHEVERLEPO);Toulouse;31555;2017-03-20;2017.0;ENTRE RUE EBELOT ET CHE PUJIBET;VERS RUE EBELOT;;TV;664.0
RUE DE CUGNAUX;CUGNAUX (RUE DE CUGNAUX);Toulouse;31555;2017-03-21;2017.0;ENTRE RUE DE VARSOVIE ET RUE PINS;VERS PL MALE;;TV;5102.0
CHE DE LA PLANETTE;PLANETTE (CHE DE LA PLANETTE);Aussonne;31032;2017-04-19;2017.0;ENTRE CHE DU PARC ET IMP DES IRIS;VERS CHE DU PARC;;TV;978.0
RUE DE LA TEURALIE;TEURALIE (RUE DE LA TEURALIE);Castelginest;31116;2017-04-19;2017.0;ENTRE RTE FONBEAUZARD ET RTE PECHBONNIEU;VERSRTE DE PECHBONNIEU;;TV;2575.0
RUE FIEUX;FIEUX (RUE FIEUX);Toulouse;31555;2017-04-20;2017.0;ENTRE RUE BENECH ET RUE DE LA REGINE;VERS RUE DESBALS;;TV;483.0
CHE DE PARC;PARC (CHE DE PARC);Pibrac;31417;2017-04-21;2017.0;ENTR RUE DES FRERES ET CHE BAUDE;VERS RUE BAUDE;;TV;1352.0
RUE MERLY;MERLY (RUE MERLY);Toulouse;31555;2017-05-15;2017.0;ENTRE BD D'ARCOLE ET RUE POUZONVILLE;VERS POUZONVILLE;oui;TV;2921.0
BD ARMAND DUPORTAL;DUPORTAL (BD ARMAND DUPORTAL);Toulouse;31555;2017-05-15;2017.0;ENTRE RUE DE LA CITE ET AL DE BARCELONE;VERS ALL BARCELONE;oui;TV;4056.0
RUE PARGAMINIERES;PARGAMINIERES (RUE PARGAMINIERES);Toulouse;31555;2017-05-15;2017.0;ENTRE RUE BASTIDE ET RUE LAKANAL;VERS RUE LAKANAL;oui;TV;2203.0
RUE DU LUAN;LUAN (RUE DU LUAN);Balma;31044;2017-05-30;2017.0;ENTRE AV GIMONT ET RUE BULLIARD;VERS AV PRAT GIMONT;;TV;874.0
CHE DE LA GRAVIERE;GRAVIERE (CHE DE LA GRAVIERE);Lespinasse;31293;2017-06-12;2017.0;ENTRE RTE DE L'HERS ET RUE DES LACS;VERS RUE DES LACS;;TV;759.0
RTE DE LAVAUR;LAVAUR (RTE DE LAVAUR);Balma;31044;2017-06-12;2017.0;ENTRE RTE DE GAURE ET AV DE THEGRA;VERS TOULOUSE;;TV;12598.0
ALL MADY DE LA GIRAUDIERE;GIRAUDIERE (ALL MADY DE LA GIRAUDIERE);Colomiers;31149;2017-06-13;2017.0;ENTRE PAS RAVEL ET ALL DE NAVARRE;VERS PAS RAVEL;oui;TV;133.0
CHE DE MALEPERE;MALEPERE (CHE DE MALEPERE);Toulouse;31555;2017-09-07;2017.0;ENTRE CARMES ET LABEGE;VERS RTE DE LABEGE;;TV;1712.0
RUE HENRI EBELOT;EBELOT (RUE HENRI EBELOT);Toulouse;31555;2017-09-12;2017.0;ENTRE CHE PUJIBET ET RUE ETCHEVERLEPO;VERS RUE ETCHEVERLEPO;;TV;1130.0
RUE DU BOSC;BOSC (RUE DU BOSC);Fenouillet;31182;2017-09-12;2017.0;ENTRE AV DES SPORTS ET RUE DE GASCOGNE;VERS RUE DE GASCOGNE;;TV;515.0
RUE HENRI EBELOT;EBELOT (RUE HENRI EBELOT);Toulouse;31555;2017-09-12;2017.0;ENTRE CHE PUJIBET ET RUE ETCHEVERLEPO;VERS CHE PUJIBET;;TV;1418.0
CHE DU GRILLOU;GRILLOU (CHE DU GRILLOU);Tournefeuille;31557;2017-09-14;2017.0;ENTRE CHE LARRAMET ET CHE DU BOIS;VERS CHE LARRAMET;;TV;544.0
RUE ESCOUS. MONTGAILLARD;MONTGAILLARD (RUE ESCOUS. MONTGAILLARD);Toulouse;31555;2017-09-15;2017.0;ENTRE RUE ESPINASSE ET RUE VELANE;VERS PL MONTOULIEU;oui;TV;616.0
RUE FIEUX;FIEUX (RUE FIEUX);Toulouse;31555;2017-09-19;2017.0;ENTRE AV DE MURET ET RUE CAHUZAC;VERS RUE CAHUZAC;oui;TV;1132.0
RUE DES FONTAINES;FONTAINES (RUE DES FONTAINES);Toulouse;31555;2017-09-19;2017.0;ENTRE RUE ANTIPOUL ET RUE LABRUYERE;VERS RUE LABRUYERE;oui;TV;3694.0
RUE RODOLOSE;RODOLOSE (RUE RODOLOSE);Toulouse;31555;2017-09-19;2017.0;ENTRE RUE PIBRAC ET RUE DES BRAVES;VERS RUE PIBRAC;;TV;475.0
AV ETIENNE BILLIERES;BILLIERES (AV ETIENNE BILLIERES);Toulouse;31555;2016-09-21;2016.0;ENTRE RU DU TCHAD ET RUE DE GASCOGNE;VERS PATTE D'OIE;;TV;9036.0
COTE DE CORNAUDRIC;CORNAUDRIC (COTE DE CORNAUDRIC);Union;31561;2016-09-28;2016.0;ENTRE RTE DE BESSIERES ET SAULES;VERS RTE DE BRUGUIERES;;TV;179.0
AV DES HERBETTES;HERBETTES (AV DES HERBETTES);Toulouse;31555;2016-11-12;2016.0;ENTRE CHE DE LA BUTTE ET AV DE LESPINET;VERS CHE DE LA BUTTE;;TV;3252.0
AV DE LESPINET;LESPINET (AV DE LESPINET);Toulouse;31555;2016-11-12;2016.0;ENTRE RUE TERECHKOVA ET RUE AURIOL;VERS CHE CARROSSE;;TV;6439.0
AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);Toulouse;31555;2016-11-14;2016.0;ENTRE CHE DES MARAICHERS ET CAMPUS;VERS AV ROCHE;;TV;3224.0
CHE D AL NOBLE;NOBLE (CHE D AL NOBLE);Colomiers;31149;2016-11-25;2016.0;ENTRE ALL DU PERTHUS ET VOIE LATERALE SUD;VERS CHE DU PAGE;;TV;1592.0
MAIL LOUIS ARAGON;ARAGON (MAIL LOUIS ARAGON);Blagnac;31069;2016-11-25;2016.0;ENTRE IMP BARJAVAL ET RUE MARTIN;VERS RUE MARTIN;;TV;2467.0
RUE DES CYCLAMENS;CYCLAMENS (RUE DES CYCLAMENS);Toulouse;31555;2016-11-26;2016.0;ENTRE RUE DES MAGNOLIAS;VERS RUE LEUCATE;;TV;411.0
AV PIERRE GEORGES LATECOERE;LATECOERE (AV PIERRE GEORGES LATECOERE);Blagnac;31069;2016-12-12;2016.0;ENTRE RUE RAYMONDIS ET RUE TOUCH;VERS RTE DE GRENADE;oui;TV;7347.0
RUE SIMONE SIGNORET;SIGNORET (RUE SIMONE SIGNORET);Toulouse;31555;2017-01-16;2017.0;ENTRE IMP GUILHERMY ET RUE DEBAUGES;VERS RUE DEBAUGES;;TV;234.0
AV DU BOIS;BOIS (AV DU BOIS);Saint-Jean;31488;2017-01-30;2017.0;ENTRE AV DE L'EGLISE ET RUE DU MUGUET;VERS RUE DU MUGUET;;TV;3578.0
RUE DE L INVENTION;INVENTION (RUE DE L INVENTION);Toulouse;31555;2017-03-08;2017.0;ENTRE RUE DE L'ILIADE ET AV IMPERIALE;VERS RUE DE L'ILIADE;;TV;124.0
CHE DES SEPT DENIERS;DENIERS (CHE DES SEPT DENIERS);Toulouse;31555;2017-03-17;2017.0;ENTRE CHE ROQUES ET RUE DES TROENES;VERS CHE ROQUES;;TV;2963.0
RUE LOUIS PLANA;PLANA (RUE LOUIS PLANA)_TOULOUSE;Toulouse;31555;2008-09-26;2018.0;ENTRE DINETARD ET JUNCASSE;VERS AV GUILLAUMET;;TV;4826.0
AV DE FLOURENS;FLOURENS (AV DE FLOURENS);Balma;31044;2018-10-10;2018.0;ENTRE RUE VAN GOGH ET IMP MOURY;VERS AV MAURESSAC;;TV;2730.0
AV ANGLA;ANGLA (AV ANGLA)_TOULOUSE;Toulouse;31555;2018-10-02;2018.0;ENTRE CHE PELLEPORT ET RUE CHAMPLAIN;VERS CHE PELLEPORT;;TV;444.0
CHE MICHOUN;MICHOUN (CHE MICHOUN);Toulouse;31555;2018-10-17;2018.0;ENTRE AV DE LA ROSERAIE ET RUE ROUBICHOU;VERS CHE NICOL;;TV;2265.0
CHE DE MENVIELLE;MENVIELLE (CHE DE MENVIELLE);Cornebarrieu;31150;2018-11-22;2018.0;ENTRE AV DE LETECOERE ET D63e;VERS AV DE LATECOERE;;TV;131.0
RUE JACQUES GAMELIN;GAMELIN (RUE JACQUES GAMELIN);Toulouse;31555;2019-01-21;2019.0;ENTRE RUE DE MOSELLE ET RUE DE L'AVEYRON;VERS RUE VESTREPAIN;;TV;2070.0
RUE DE VENASQUE;VENASQUE (RUE DE VENASQUE);Toulouse;31555;2019-02-08;2019.0;ENTRECHE DE LA BUTTE ET IMP VENASQUE;VERS AV SAINT EXUPERY;;TV;1200.0
AV DE L EURO;EURO (AV DE L EURO);Bruguiþres;31091;2019-02-11;2019.0;ENTRE RUE DU PARC ET IMPDE VALENCE;VES IMP DE VALENCE;;TV;910.0
RUE JEAN PERRIN;PERRIN (RUE JEAN PERRIN);St-Jean;31488;2014-02-08;2014.0;ENTRE CURIE ET DANCELLE;VERS DANCELLE;;TV;406.0
ALL FORAIN FRANCOIS VERDIER;VERDIER (ALL FORAIN FRANCOIS VERDIER);Toulouse;31555;2014-05-14;2014.0;ENTRE MONTOULIEU ST JACQUES ET BOULINGRIN;VERS GRAND ROND;oui;TV;9022.0
RUE SYLVAIN DAURIAC;DAURIAC (RUE SYLVAIN DAURIAC)_TOULOUSE;Toulouse;31555;2014-05-14;2014.0;ENTRE RIQUET ET ESCANDE;SENS UNIQUE VERS ESCANDE;oui;TV;1023.0
RUE DE SEBASTOPOL;SEBASTOPOL (RUE DE SEBASTOPOL);Toulouse;31555;2014-05-14;2014.0;ENTRE MARQUETTE ET ALARIC;VERS LASCROSSE;;TV;6749.0
AV AUGUSTIN LABOUILHE;LABOUILHE (AV AUGUSTIN LABOUILHE);St-Orens-De-Gameville;31506;2014-03-17;2014.0;ENTRE TUCARD ET LAURAGUAIS;VERS RUE DE NAZAN;;TV;2773.0
RUE DES SPORTS;SPORTS (RUE DES SPORTS);Saint-Orens-De-Gameville;31506;2014-03-18;2014.0;ENTRE CHE DE NAZAN ET RUE DU STADE;VERS NAZAN;;TV;690.0
AV DIDIER DAURAT;DAURAT (AV DIDIER DAURAT);Blagnac;31069;2014-06-10;2014.0;ENTRE DUFOUR ET POTEZ;SENS UNIQUE VERS POTEZ;oui;TV;3767.0
AV EMILE DEWOITINE;DEWOITINE (AV EMILE DEWOITINE);Blagnac;31069;2014-06-10;2014.0;ENTRE CHATAIN ET NADOT;VERS CHATAIN;;TV;2453.0
GRANDE-RUE SAINT MICHEL;MICHEL (GRANDE-RUE SAINT MICHEL);Toulouse;31555;2014-10-07;2014.0;ENTRE GORP ET NOTRE DAME;VERS NOTRE DAME;;TV;5719.0
RUE DES FELIBRES;FELIBRES (RUE DES FELIBRES);Toulouse;31555;2014-04-03;2014.0;ENTRE CHE VIREBENT ET CHE PALEFICAT;VERS CHE VIREBENT;;TV;91.0
CHE DE LA VIOLETTE;VIOLETTE (CHE DE LA VIOLETTE);Union;31561;2014-06-02;2014.0;ENTRE RTE DE BESSIERES ET IMP DE LA VIOLETT;VERS VIOLETTE;;TV;5831.0
COTE DE CORNAUDRIC;CORNAUDRIC (COTE DE CORNAUDRIC);Union;31561;2014-06-02;2014.0;ENTRE RTE DE BESSIERES ET SAULES;VERS BRUGUIERES;;TV;1227.0
RTE DE BESSIERES;BESSIERES (RTE DE BESSIERES);Union;31561;2014-06-02;2014.0;ENTRE NOISETIERS ET CORNAUDRIC;VERS NOISETIERS;;TV;6085.0
RUE DES COCCINELLES;COCCINELLES (RUE DES COCCINELLES);Beauzelle;31056;2014-09-19;2014.0;ENTRE LIBELULES ET CIGALES;VERS CHE DES PAPILLONS;;TV;80.0
AV CRAMPEL;CRAMPEL (AV CRAMPEL);Toulouse;31555;2014-09-15;2014.0;ENTRE NOGUES ET RUSSEL;VERS SEGOFFIN;;TV;8122.0
AV DU ONZE NOVEMBRE 1918;NOVEMBRE (AV DU ONZE NOVEMBRE 1918);Blagnac;31069;2014-01-17;2014.0;ENTRE AV SERVANTY ET AV MISTRAL;VERS AV MISTRAL;;TV;1055.0
CHE DE RIVALSUPERVIC;RIVALSUPERVIC (CHE DE RIVALSUPERVIC);Toulouse;31555;2014-01-20;2014.0;ENTRE CHE DES ETROITS CHE PLANTADE;VERS PECHBUSQUE;;TV;2782.0
RUE HUBERT MONLOUP;MONLOUP (RUE HUBERT MONLOUP);Toulouse;31555;2014-01-09;2014.0;ENTRE MAUNOURY ET PUJIBET;LES DEUX SENS;;TV;1792.0
RUE GABRIEL PERI;PERI (RUE GABRIEL PERI);Toulouse;31555;2016-01-06;2016.0;ENTRE RUE INDUSTRIE ET RUE PALAPRAT;VERS BD RIQUET;;TV;4093.0
RUE DU SOMPORT;SOMPORT (RUE DU SOMPORT);L'union;31561;2016-01-07;2016.0;ENTRE RUE DU VIGNEMALE ET RUE DU MONT VALLI;VERS AV DE TOULOUSE;;TV;1644.0
RUE FELIX DEBAX;DEBAX (RUE FELIX DEBAX);Blagnac;31069;2016-01-13;2016.0;ENTRERUE GUIMBAUD ET PL HERISSON;VERS PL HERISSON;oui;TV;1496.0
RUE JEAN PERRIN;PERRIN (RUE JEAN PERRIN);St-Jean;31488;2016-01-13;2016.0;ENTRE RUE CURIE ET AV DANCELLE;VERS AV DE LA DANCELLE;;TV;384.0
ALL DE GUYENNE;GUYENNE (ALL DE GUYENNE);Toulouse;31555;2016-02-15;2016.0;ENTRE DESBALS ET BIGORRE;LES DEUX SENS;;TV;7307.0
CHE DE GINESTOUS;GINESTOUS (CHE DE GINESTOUS);Toulouse;31555;2016-03-07;2016.0;ENTRE CHE DE CHANTELLE ETIMP DE GINESTOUS;VERS RUE LOUIS BONIN;;TV;991.0
AV DE TOULOUSE;TOULOUSE (AV DE TOULOUSE);Gratentour;31230;2016-03-08;2016.0;ENTRE RUE DU BARRY ET CASTELGINEST;VERS RUE DU BARRY;;TV;2764.0
RUE SAINTE AUGUSTINE;AUGUSTINE (RUE SAINTE AUGUSTINE);Toulouse;31555;2016-03-11;2016.0;ENTRE RUE RAVEL ET RUE DES GLYCINES;VERS CHE AMOUROUX;oui;TV;1700.0
RUE MAURICE HUREL;HUREL (RUE MAURICE HUREL);Toulouse;31555;2016-03-14;2016.0;ENTRE AV DASSAULT ET RUE HILSZ;VERS IMPASSE;;TV;491.0
QU DE LA DAURADE;DAURADE (QU DE LA DAURADE);Toulouse;31555;2016-03-14;2016.0;ENTRE DAURADE ET TABAC;VERS TABAC;oui;TV;5559.0
AV MAURICE HAURIOU;HAURIOU (AV MAURICE HAURIOU);Toulouse;31555;2016-03-14;2016.0;ENTRE MOULIN DU CHATEAU ET GARONNETTE;VERS AV DE LA GARONNETTE;;TV;544.0
RUE DE LA COLOMBETTE;COLOMBETTE (RUE DE LA COLOMBETTE)_TOULOUSE;Toulouse;31555;2016-03-14;2016.0;ENTRE MERCADIER ET AMELIE;VERS RUE AMELIE;oui;TV;2383.0
RUE DES LILAS;LILAS (RUE DES LILAS);L'union;31561;2016-03-28;2016.0;ENTRE RUE DES BLEUETS ET RUE DES PERVENCHES;VERS RUE DE PERVENCHES;;TV;241.0
RUE DES LILAS;LILAS (RUE DES LILAS);L'union;31561;2016-03-28;2016.0;ENTRE RUE DES BLEUETS ET RUE DES PERVENCHES;VERS RUE DES BLEUETS;;TV;172.0
RUE DU CAPITAINE ESCUDIE;ESCUDIE (RUE DU CAPITAINE ESCUDIE);Toulouse;31555;2016-04-08;2016.0;ENTRE RUE PAUILHAC ET IMP ESCUDIE;VERS RUE DU PRINTEMPS;oui;TV;150.0
CHE DU SANG DE SERP;SERP (CHE DU SANG DE SERP);Toulouse;31555;2016-05-03;2016.0;ENTRE CHE TRICOU ET RUE BOBILLOT;VERS BD DE L'EMBOUCHURE;;TV;1702.0
RUE LOUIS BONIN;BONIN (RUE LOUIS BONIN);Toulouse;31555;2016-05-09;2016.0;ENTRE RUE DE L'EGALITE ET RUE LAURENCIN;VERS RUE LAURENCIN;;TV;7383.0
CHEM FRANCISCO DE GOYA;GOYA (CHEM FRANCISCO DE GOYA);Toulouse;31555;2016-06-15;2016.0;ENTRE RUE GAUGUIN ET CHE GOYA;VERS RUE GAUGUIN;;TV;495.0
CHE D AUZEVILLE;AUZEVILLE (CHE D AUZEVILLE);Toulouse;31555;2016-06-21;2016.0;ENTRE CHE ECALLES ET AUZEVILLE;VERS CHE D'ESCALLES;;TV;3632.0
RTE D ESPAGNE;ESPAGNE (RTE D ESPAGNE);Toulouse;31555;2016-06-28;2016.0;ENTRE RUE CHARPENTIER ET RUE BERNADETTE;VERS ROCADE;;TV;6034.0
RUE CARRIERE;CARRIERE (RUE CARRIERE);Blagnac;31069;2016-07-01;2016.0;ENTRE CHE DE BARRIEU ET RUE DES PRIMEVERES;VERS CHE DE BARRIEU;;TV;1843.0
AV DE CASTRES;CASTRES (AV DE CASTRES);Toulouse;31555;2016-07-18;2016.0;ENTRE BD DES CRETES ET RUE CHATEAU DE L'HER;VERS RUE DU CHATEAU DE L'HERS;;TV;5433.0
CHE DE BELBEZE;BELBEZE (CHE DE BELBEZE);Saint-Jean;31488;2016-09-12;2016.0;ENTRE PL MITTERRAND ET IMP PUJOL;VERS RTE D'ALBI;;TV;2984.0
CHE DE MONTRABE;MONTRABE (CHE DE MONTRABE);Saint-Jean;31488;2016-09-12;2016.0;ENTRE PL MITTERRAND ET  AV DIEUZAIDE;VERS AV DIEUZAIDE;;TV;4012.0
AV DE ROME;ROME (AV DE ROME);Blagnac;31069;2016-09-12;2016.0;ENTRE AV DE PARIS ET AV DE LONDRE;VERS AV DE LONDRE;;TV;17974.0
RUE DE L ESCADRILLE LAFAYETTE;LAFAYETTE (RUE DE L ESCADRILLE LAFAYETTE);Blagnac;31069;2016-09-12;2016.0;ENTRE AV DE ROME ET AV DURAND;VERS AV DE ROME;;TV;2194.0
CHE BERNARD SARRETTE;SARRETTE (CHE BERNARD SARRETTE);Toulouse;31555;2016-09-19;2016.0;ENTRE RTE D'ALBI ET RUE VASSEUR;VERS RUE VASSEUR;oui;TV;2303.0
