Street;Motdir;Commune;"Code
Insee";"Date
Comptage";Année;Section;Sens de comptage;"Voie en
Sens unique";Type;"Moyenne
Jours ouvrés par semaine "
RTE DE PARIS;PARIS (RTE DE PARIS);Aucamville;31022;2017-01-23;2017.0;ENTRE RTE DE LACOURTENSOURT ET  RUE SEVESO;VERS SAINT ALBAN;;TV;16738.0
DEPARTEMENTALE 820;820 (DEPARTEMENTALE 820);Saint-Jory;31490;2017-01-23;2017.0;ENTRE CHE NIVITAL SAINT JORY;VERS SAINT JORY;;TV;11357.0
RUE DU CHATEAU;CHATEAU (RUE DU CHATEAU);Brax;31088;2017-01-25;2017.0;ENTRE PL DU CHATEAU ET PL DU VIDALET;VERS PL DU VIDALET;;TV;1011.0
RUE D APOLLO;APOLLO (RUE D APOLLO);L'union;31561;2017-02-21;2017.0;ENTRE RUE DE SOYOUZ ET RUE ARIANE;VERS RUE DE SOYOUZ;;TV;1370.0
AV PIERRE GEORGES LATECOERE;LATECOERE (AV PIERRE GEORGES LATECOERE);Blagnac;31069;2017-02-27;2017.0;ENTRE SERVANTY ET VELASQUEZ;SENS UNIQUE VERS VELASQUEZ;oui;TV;6023.0
RUE DES MIMOSAS;MIMOSAS (RUE DES MIMOSAS);Pibrac;31417;2017-03-09;2017.0;ENTRE SQ BLEUETS ET SQ PAQUERETTES;VERS CHE SAINT ROCH;;TV;849.0
RUE DU DOCTEUR EMILE ROUX;ROUX (RUE DU DOCTEUR EMILE ROUX);Toulouse;31555;2015-12-15;2015.0;ENTRE RUE CALMETTE;VERS RUE DES FONTAINES;;TV;139.0
RUE JACQUES LABATUT;LABATUT (RUE JACQUES LABATUT)_TOULOUSE;Toulouse;31555;2016-03-14;2016.0;ENTRE POTIERS ET ST SAUVEUR;VERS PORT ST SAUVEUR;oui;TV;368.0
RUE SAINT FERREOL;FERREOL (RUE SAINT FERREOL);Toulouse;31555;2016-03-14;2016.0;ENTRE BD RIQUET ET RUE RIQUET;VERS RUE RIQUET;oui;TV;237.0
RUE DE CHATEAUDUN;CHATEAUDUN (RUE DE CHATEAUDUN);Toulouse;31555;2016-03-14;2016.0;ENTRE JANY ET PRINTEMPS;VERS RUE DU PRINTEMPS;oui;TV;322.0
