Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.6006449478,1.44309991762;"{""type"": ""LineString"", ""coordinates"": [[1.44246649573348, 43.60054232577801], [1.442742979130167, 43.60059749057767], [1.443074059742333, 43.600657819295144], [1.443471893004989, 43.600695018683325], [1.443738660129544, 43.60070279684332]]}";RUE MALCOUSINAT;MALCOUSINAT (RUE MALCOUSINAT);1;1;TOULOUSE;31555;315554300811;3105555536;104;Aire Pietonne;11/001;;2011;Centre;;;
43.60200084,1.44265299399;"{""type"": ""LineString"", ""coordinates"": [[1.442716909221257, 43.60199282935922], [1.44258907875321, 43.60200885073454]]}";RUE BEDELIERES;BEDELIERES (RUE BEDELIERES);8104;8104;TOULOUSE;31555;315558413725;3105550973;10;Aire Pietonne;11/098;;2011;Centre;;;
43.601810916,1.44391926583;"{""type"": ""LineString"", ""coordinates"": [[1.443558412176255, 43.60178753076579], [1.444129470444416, 43.60182042543488], [1.444277386610211, 43.601853753547935]]}";RUE DU PUITS VERT;VERT (RUE DU PUITS VERT);5137;5137;TOULOUSE;31555;315555644831;3105557188;59;Aire Pietonne;11/100;;2011;Centre;;;
43.6023466116,1.44757892202;"{""type"": ""LineString"", ""coordinates"": [[1.447287017738357, 43.602322057865926], [1.447870826291798, 43.60237116541308]]}";PL SAINT GEORGES;GEORGES (PL SAINT GEORGES);4682;4682;TOULOUSE;31555;315556211216;3105557792;47;Aire Pietonne;11/111;;2011;Centre;;;
43.5685337898,1.4154562286;"{""type"": ""LineString"", ""coordinates"": [[1.413881707550893, 43.568516370260376], [1.414397573637576, 43.568817600213656], [1.414486928148945, 43.56884577113484], [1.414593546277163, 43.568851366517556], [1.414733120597931, 43.56882701253069], [1.414996119819907, 43.56873265576952], [1.415185196692818, 43.568706756787], [1.415626787687031, 43.56859113583265], [1.416030915113382, 43.568457237576084], [1.416354067580866, 43.568345328377674], [1.416655376750263, 43.5682134304017], [1.416780729970613, 43.568099961181204], [1.416958210238392, 43.56789703692238]]}";IMP MARTYRS DE BORDELONGUE;BORDELONGUE (IMP MARTYRS DE BORDELONGUE);3793;3793;TOULOUSE;31555;315558368804;3105555743;294;Aire Pietonne;10/xxx;;2010;Sud;;;
43.6017043651,1.44251369052;"{""type"": ""LineString"", ""coordinates"": [[1.442261176075247, 43.60156157911659], [1.442662708021336, 43.601786143147926], [1.442760611389592, 43.60185597912027]]}";RUE TRIPIERE;TRIPIERE (RUE TRIPIERE);4612;4612;TOULOUSE;31555;315556963233;3105558584;52;Aire Pietonne;11/097;;2011;Centre;oui;oui;
43.6019889308,1.44240319284;"{""type"": ""LineString"", ""coordinates"": [[1.442217306921704, 43.60196901088027], [1.44258907875321, 43.60200885073454]]}";RUE DU MAY;MAY (RUE DU MAY);4610;4610;TOULOUSE;31555;315554528018;3105555836;30;Aire Pietonne;11/099;;2011;Centre;oui;oui;
43.5995894106,1.44492913184;"{""type"": ""LineString"", ""coordinates"": [[1.444498206333191, 43.599709617745795], [1.44526172682598, 43.599494237232285], [1.445363340565297, 43.59948936536748]]}";RUE DE LA TRINITE;TRINITE (RUE DE LA TRINITE);5270;5270;TOULOUSE;31555;315556956836;3105558580;74;Aire Pietonne;11/094;;2011;Centre;oui;oui;
43.5999892416,1.44318620836;"{""type"": ""LineString"", ""coordinates"": [[1.44258370101006, 43.6001070293317], [1.442692944378136, 43.60002747095386], [1.443811397323016, 43.599932228734744]]}";RUE DES MARCHANDS;MARCHANDS (RUE DES MARCHANDS);4829;4829;TOULOUSE;31555;315554358434;3105555628;103;Aire Pietonne;11/027;;2011;Centre;oui;oui;modif arrete  en 2011
43.6019765525,1.44564131395;"{""type"": ""LineString"", ""coordinates"": [[1.445645368015829, 43.60144249288033], [1.445637259886944, 43.60251061203795]]}";RUE D ALSACE LORRAINE;LORRAINE (RUE D ALSACE LORRAINE);4661;4661;TOULOUSE;31555;315550118429;3105550224;119;Aire Pietonne;13/107;;2010;Centre;oui;oui;
