codePostal,longitude,latitude,adress,libelle_du_site,record_timestamp
31500,1.4620999999999997,43.5965,57 AVENUE JEAN RIEUX,TOULOUSE CARREFOUR JEAN RIEUX RP,2020-06-08T21:38:00+00:00
31500,1.457361,43.619992,66 BIS RUE DU FAUBOURG BONNEFOY,TOULOUSE BONNEFOY BP,2020-06-08T21:38:00+00:00
31500,1.4869,43.5997,6 RUE CLAUDIUS ROUGENET,TOULOUSE CARREFOUR MARKET LHERS RP,2020-06-08T21:38:00+00:00
31500,1.469359,43.619397,167 RUE LOUIS PLANA,TOULOUSE ROSERAIE,2020-06-08T21:38:00+00:00
31500,1.4825,43.5866,CHEMIN DE LA TERRASSE,TOULOUSE FIRMIS RP,2020-06-08T21:38:00+00:00
31500,1.4688,43.6287,RUE D HYERES,TOULOUSE SUPERETTE AMOUROUX RP,2020-06-08T21:38:00+00:00
31500,1.484187,43.579291,3 RUE RAYMOND CORRAZE,TOULOUSE L ORMEAU BP,2020-06-08T21:38:00+00:00
31500,1.476051,43.600691,103 AVENUE DE CASTRES,TOULOUSE COTE PAVEE,2020-06-08T21:38:00+00:00
