codePostal,longitude,latitude,adress,libelle_du_site,record_timestamp
31400,1.451,43.584,1 BIS AVENUE CRAMPEL,TOULOUSE CARREFOUR EXPRESS CRAMP RP,2020-05-08T21:38:00+00:00
31400,1.462499,43.586695,30 AV ANTOINE DE SAINT EXUPERY,TOULOUSE PONT DES DEMOISELLES,2020-05-08T21:38:00+00:00
31400,1.462236,43.573993,8 RUE EMILE GUYOU,TOULOUSE RANGUEIL,2020-05-08T21:38:00+00:00
31400,1.4457,43.5896,105 GRANDE RUE ST MICHEL,TOULOUSE CITY ST MICHEL RP,2020-05-08T21:38:00+00:00
31400,1.446741,43.586998,28 GRANDE RUE SAINT MICHEL,TOULOUSE SAINT MICHEL,2020-05-08T21:38:00+00:00
31400,1.439628,43.577699,PLACE COMMERCIALE,TOULOUSE EMPALOT BP,2020-05-08T21:38:00+00:00
31400,1.4578,43.5507,RUE RENE GOSCINNY,TOULOUSE CITY POUVOURVILLE RP,2020-05-08T21:38:00+00:00
31400,1.449919,43.578198,121 AVENUE JULES JULIEN,TOULOUSE JULES JULIEN RPU RP,2020-05-08T21:38:00+00:00
