codePostal,longitude,latitude,adress,libelle_du_site,record_timestamp
31000,1.431289854,43.60721023,12 AVENUE MARECHAL LECLERC,TOULOUSE CITY MAL LECLERC LPR RP,2020-05-08T21:38:00+00:00
31000,1.446778,43.600499,34 RUE DE METZ,TOULOUSE LES AUGUSTINS,2020-05-08T21:38:00+00:00
31000,1.45057,43.61039,49 RUE DE BAYARD,TOULOUSE CARREFOUR CITY BAYARD RP,2020-05-08T21:38:00+00:00
31000,1.445,43.6001,22 RUE DES TOURNEURS,TOULOUSE MIDICA SERVICE RP,2020-05-08T21:38:00+00:00
31000,1.436448,43.610795,17 BOULEVARD LASCROSSES,TOULOUSE ARNAUD BERNARD,2020-05-08T21:38:00+00:00
31000,1.445549,43.596795,32 RUE DU LANGUEDOC,TOULOUSE LES CARMES BP,2020-05-08T21:38:00+00:00
31000,1.444621,43.606286,25 RUE DE REMUSAT,TOULOUSE REMUSAT BP,2020-05-08T21:38:00+00:00
31000,1.448276,43.612296,1 PLACE ROQUELAINE,TOULOUSE ROQUELAINE,2020-05-08T21:38:00+00:00
31000,1.439223,43.61054,1 PLACE ARNAUD BERNARD,TOULOUSE RPU ARNAUD BERNARD RP,2020-05-08T21:38:00+00:00
31000,1.452084,43.606618,RUE NICOLAS BACHELIER,TOULOUSE CARREFOUR CITY BACHELIE RP,2020-05-08T21:38:00+00:00
31000,1.45575,43.59664,16 ALLEES PAUL SABATIER,TOULOUSE CARREFOUR CITY SABATIER RP,2020-05-08T21:38:00+00:00
31000,1.444679,43.604994,9 RUE LAFAYETTE,TOULOUSE CAPITOLE,2020-05-08T21:38:00+00:00
31000,1.45446,43.602791,1 RUE CHARLES CAMICHEL,TOULOUSE SAINT AUBIN,2020-05-08T21:38:00+00:00
